#Locus	Allele	PCA_pop	Frequency	Count
HLA-A	A*01	african	0.0363933305294863	472
HLA-A	A*02	african	0.156017462199145	2013
HLA-A	A*03	african	0.0751199133529321	971
HLA-A	A*11	african	0.0047728666912612	62
HLA-A	A*23	african	0.114298935677927	1482
HLA-A	A*24	african	0.0132016670560672	171
HLA-A	A*25	african	0.00115473441108545	15
HLA-A	A*26	african	0.00755576766771367	98
HLA-A	A*29	african	0.0243413957787706	316
HLA-A	A*30	african	0.157473343156144	2041
HLA-A	A*31	african	0.00670428386664183	87
HLA-A	A*32	african	0.00924356801725466	120
HLA-A	A*33	african	0.078598922247883	1021
HLA-A	A*34	african	0.0364126250962279	473
HLA-A	A*36	african	0.0400739827373613	520
HLA-A	A*40	african	0	0
HLA-A	A*43	african	0	0
HLA-A	A*66	african	0.0273239274406628	355
HLA-A	A*68	african	0.101588056305572	1317
HLA-A	A*69	african	7.69467528470299e-05	1
HLA-A	A*74	african	0.0666715441916815	865
HLA-A	A*80	african	0.00923361034164358	120
HLA-A	A*01	e_asian	0.00520381613183001	12
HLA-A	A*02	e_asian	0.141039554104234	306
HLA-A	A*03	e_asian	0.00477430555555556	11
HLA-A	A*11	e_asian	0.292794453570299	652
HLA-A	A*23	e_asian	0.000433275563258232	1
HLA-A	A*24	e_asian	0.141883628006421	321
HLA-A	A*25	e_asian	0	0
HLA-A	A*26	e_asian	0.0152705061082024	35
HLA-A	A*29	e_asian	0.00870517467766867	20
HLA-A	A*30	e_asian	0.0142980935875216	33
HLA-A	A*31	e_asian	0.00739130434782609	17
HLA-A	A*32	e_asian	0.00649913344887348	15
HLA-A	A*33	e_asian	0.12001733102253	277
HLA-A	A*34	e_asian	0.00477280700829811	11
HLA-A	A*36	e_asian	0	0
HLA-A	A*40	e_asian	0	0
HLA-A	A*43	e_asian	0.00173761946133797	4
HLA-A	A*66	e_asian	0	0
HLA-A	A*68	e_asian	0.00303292894280763	7
HLA-A	A*69	e_asian	0	0
HLA-A	A*74	e_asian	0.0012998266897747	3
HLA-A	A*80	e_asian	0	0
HLA-A	A*01	non_british_white	0.183518539144454	9133
HLA-A	A*02	non_british_white	0.267893491046818	13141
HLA-A	A*03	non_british_white	0.139971895354609	6962
HLA-A	A*11	non_british_white	0.0616151155686646	3064
HLA-A	A*23	non_british_white	0.0182091949407749	907
HLA-A	A*24	non_british_white	0.0763660412026183	3769
HLA-A	A*25	non_british_white	0.0191467852810352	947
HLA-A	A*26	non_british_white	0.0286215128750838	1417
HLA-A	A*29	non_british_white	0.037210982931556	1853
HLA-A	A*30	non_british_white	0.0221831511999425	1105
HLA-A	A*31	non_british_white	0.0235617740164732	1173
HLA-A	A*32	non_british_white	0.0372936498373298	1857
HLA-A	A*33	non_british_white	0.0118244599694853	589
HLA-A	A*34	non_british_white	0.000802951650382855	40
HLA-A	A*36	non_british_white	6.02191978802842e-05	3
HLA-A	A*40	non_british_white	0	0
HLA-A	A*43	non_british_white	0	0
HLA-A	A*66	non_british_white	0.00389433033270171	194
HLA-A	A*68	non_british_white	0.0379908007620616	1891
HLA-A	A*69	non_british_white	0.00164685089974293	82
HLA-A	A*74	non_british_white	0.000381446284189366	19
HLA-A	A*80	non_british_white	8.0292263840379e-05	4
HLA-A	A*01	s_asian	0.147372429550647	2322
HLA-A	A*02	s_asian	0.0892380886128791	1390
HLA-A	A*03	s_asian	0.0702707937448575	1105
HLA-A	A*11	s_asian	0.135935386949459	2110
HLA-A	A*23	s_asian	0.0122415324115185	193
HLA-A	A*24	s_asian	0.128899186010306	1992
HLA-A	A*25	s_asian	0.000190452006094464	3
HLA-A	A*26	s_asian	0.0542795346684427	851
HLA-A	A*29	s_asian	0.00887562913783605	139
HLA-A	A*30	s_asian	0.0154724159797083	244
HLA-A	A*31	s_asian	0.02521604540178	391
HLA-A	A*32	s_asian	0.0367292565338747	579
HLA-A	A*33	s_asian	0.098971921914142	1560
HLA-A	A*34	s_asian	6.34356762243086e-05	1
HLA-A	A*36	s_asian	0	0
HLA-A	A*40	s_asian	0	0
HLA-A	A*43	s_asian	0	0
HLA-A	A*66	s_asian	0.000887761572606214	14
HLA-A	A*68	s_asian	0.067296335359362	1059
HLA-A	A*69	s_asian	0.000126823081800888	2
HLA-A	A*74	s_asian	0.00158569072688063	25
HLA-A	A*80	s_asian	0.000317218627077782	5
HLA-A	A*01	white_british	0.194035685766992	130663
HLA-A	A*02	white_british	0.283146814073285	188138
HLA-A	A*03	white_british	0.145272498466682	97817
HLA-A	A*11	white_british	0.0598181080395718	40268
HLA-A	A*23	white_british	0.0168980952748221	11393
HLA-A	A*24	white_british	0.0711220589853766	47594
HLA-A	A*25	white_british	0.0146451824861119	9807
HLA-A	A*26	white_british	0.0171696250681811	11501
HLA-A	A*29	white_british	0.0432422484170455	29152
HLA-A	A*30	white_british	0.0207071903938963	13962
HLA-A	A*31	white_british	0.026728159834752	18012
HLA-A	A*32	white_british	0.034558786436433	23292
HLA-A	A*33	white_british	0.00715026325223547	4821
HLA-A	A*34	white_british	0.00091209752769662	615
HLA-A	A*36	white_british	5.93209530504317e-06	4
HLA-A	A*40	white_british	0	0
HLA-A	A*43	white_british	0	0
HLA-A	A*66	white_british	0.00277922777904849	1874
HLA-A	A*68	white_british	0.0359028500330564	24185
HLA-A	A*69	white_british	0.000228464952882812	154
HLA-A	A*74	white_british	0.000366324269759835	247
HLA-A	A*80	white_british	7.56337664725894e-05	51
HLA-B	B*07	african	0.0693793651331063	889
HLA-B	B*08	african	0.0189121600500156	242
HLA-B	B*13	african	0.00271592615713767	35
HLA-B	B*14	african	0.0213055833262182	276
HLA-B	B*15	african	0.121495352078959	1568
HLA-B	B*18	african	0.0244727730563425	311
HLA-B	B*27	african	0.00316538629733598	41
HLA-B	B*35	african	0.066346739048679	835
HLA-B	B*37	african	0.00161787365177196	21
HLA-B	B*38	african	0.000617093489663684	8
HLA-B	B*39	african	0.00565783419938292	73
HLA-B	B*40	african	0.0057080562924284	74
HLA-B	B*41	african	0.00501921059916043	65
HLA-B	B*42	african	0.0644437567693022	833
HLA-B	B*44	african	0.0479327322833375	612
HLA-B	B*45	african	0.0428350116189001	553
HLA-B	B*46	african	0	0
HLA-B	B*47	african	0.000307976593778873	4
HLA-B	B*48	african	7.69941484447182e-05	1
HLA-B	B*49	african	0.0251159196290572	325
HLA-B	B*50	african	0.0069713400464756	90
HLA-B	B*51	african	0.00674365537810609	84
HLA-B	B*52	african	0.00141978230004733	18
HLA-B	B*53	african	0.139213851193262	1785
HLA-B	B*54	african	7.69941484447182e-05	1
HLA-B	B*55	african	0.00154012012937009	20
HLA-B	B*56	african	0.00131091918568785	17
HLA-B	B*57	african	0.0378736650274737	488
HLA-B	B*58	african	0.0722620900629109	933
HLA-B	B*59	african	0	0
HLA-B	B*67	african	0	0
HLA-B	B*70	african	0	0
HLA-B	B*73	african	0.00015389350569406	2
HLA-B	B*78	african	0.00540791100123609	70
HLA-B	B*81	african	0.0181030481200681	234
HLA-B	B*82	african	0	0
HLA-B	B*07	e_asian	0.00996608951706121	23
HLA-B	B*08	e_asian	0.00346921075455334	8
HLA-B	B*13	e_asian	0.0778417397660819	179
HLA-B	B*14	e_asian	0.000433651344319167	1
HLA-B	B*15	e_asian	0.0996439490279093	226
HLA-B	B*18	e_asian	0.00088261253309797	2
HLA-B	B*27	e_asian	0.024378905644559	56
HLA-B	B*35	e_asian	0.0231968317748352	53
HLA-B	B*37	e_asian	0.00477430555555556	11
HLA-B	B*38	e_asian	0.0505655585459232	116
HLA-B	B*39	e_asian	0.0105924574041469	24
HLA-B	B*40	e_asian	0.15540128476175	348
HLA-B	B*41	e_asian	0	0
HLA-B	B*42	e_asian	0	0
HLA-B	B*44	e_asian	0.0160450997398092	37
HLA-B	B*45	e_asian	0.00173310225303293	4
HLA-B	B*46	e_asian	0.141342756183746	320
HLA-B	B*47	e_asian	0	0
HLA-B	B*48	e_asian	0.0161290322580645	37
HLA-B	B*49	e_asian	0	0
HLA-B	B*50	e_asian	0.00303292894280763	7
HLA-B	B*51	e_asian	0.0472001391310688	108
HLA-B	B*52	e_asian	0.00737207285342585	17
HLA-B	B*53	e_asian	0.000433275563258232	1
HLA-B	B*54	e_asian	0.0249125874125874	57
HLA-B	B*55	e_asian	0	0
HLA-B	B*56	e_asian	0.00178412132024978	4
HLA-B	B*57	e_asian	0.00173310225303293	4
HLA-B	B*58	e_asian	0.1040763226366	240
HLA-B	B*59	e_asian	0	0
HLA-B	B*67	e_asian	0	0
HLA-B	B*70	e_asian	0	0
HLA-B	B*73	e_asian	0	0
HLA-B	B*78	e_asian	0	0
HLA-B	B*81	e_asian	0	0
HLA-B	B*82	e_asian	0	0
HLA-B	B*07	non_british_white	0.142375321399941	7073
HLA-B	B*08	non_british_white	0.13049599742548	6488
HLA-B	B*13	non_british_white	0.0219487162771317	1092
HLA-B	B*14	non_british_white	0.0488192858012011	2430
HLA-B	B*15	non_british_white	0.0509013407171779	2515
HLA-B	B*18	non_british_white	0.0443898331998377	2198
HLA-B	B*27	non_british_white	0.0347628084567325	1725
HLA-B	B*35	non_british_white	0.0619571032984879	3042
HLA-B	B*37	non_british_white	0.0170826801720326	850
HLA-B	B*38	non_british_white	0.0191377233487251	950
HLA-B	B*39	non_british_white	0.0131844170337307	654
HLA-B	B*40	non_british_white	0.0496685252648897	2469
HLA-B	B*41	non_british_white	0.00889554927968186	443
HLA-B	B*42	non_british_white	0.000160610319213009	8
HLA-B	B*44	non_british_white	0.146764768057093	7281
HLA-B	B*45	non_british_white	0.00512109892758164	255
HLA-B	B*46	non_british_white	6.02264514574801e-05	3
HLA-B	B*47	non_british_white	0.00202786812833795	101
HLA-B	B*48	non_british_white	0.0006426735218509	32
HLA-B	B*49	non_british_white	0.0139011651265569	692
HLA-B	B*50	non_british_white	0.0103049294925877	513
HLA-B	B*51	non_british_white	0.0383969326103086	1894
HLA-B	B*52	non_british_white	0.00806159784487958	401
HLA-B	B*53	non_british_white	0.00309286632390746	154
HLA-B	B*54	non_british_white	2.00730659600947e-05	1
HLA-B	B*55	non_british_white	0.0160038319715967	796
HLA-B	B*56	non_british_white	0.00324688420118582	161
HLA-B	B*57	non_british_white	0.0356279995033112	1773
HLA-B	B*58	non_british_white	0.0062474889513861	311
HLA-B	B*59	non_british_white	0	0
HLA-B	B*67	non_british_white	0	0
HLA-B	B*70	non_british_white	2.00730659600947e-05	1
HLA-B	B*73	non_british_white	0.0003813882532418	19
HLA-B	B*78	non_british_white	2.00746778014213e-05	1
HLA-B	B*81	non_british_white	0	0
HLA-B	B*82	non_british_white	0	0
HLA-B	B*07	s_asian	0.0607088439455804	955
HLA-B	B*08	s_asian	0.0627064803049555	987
HLA-B	B*13	s_asian	0.0265765619053656	418
HLA-B	B*14	s_asian	0.00228414325214295	36
HLA-B	B*15	s_asian	0.0491084636891031	769
HLA-B	B*18	s_asian	0.01965675956532	308
HLA-B	B*27	s_asian	0.0129123461992892	203
HLA-B	B*35	s_asian	0.0916371114433015	1397
HLA-B	B*37	s_asian	0.0322847682119205	507
HLA-B	B*38	s_asian	0.00997307058789998	157
HLA-B	B*39	s_asian	0.00210360926329918	33
HLA-B	B*40	s_asian	0.0629001825427271	951
HLA-B	B*41	s_asian	0.00761885677038007	120
HLA-B	B*42	s_asian	0.000253646163601776	4
HLA-B	B*44	s_asian	0.072325614427882	1137
HLA-B	B*45	s_asian	0.00184033506790202	29
HLA-B	B*46	s_asian	0.000190476190476191	3
HLA-B	B*47	s_asian	0.000951776649746193	15
HLA-B	B*48	s_asian	0.00431746031746032	68
HLA-B	B*49	s_asian	0.00570848661677027	90
HLA-B	B*50	s_asian	0.0248064966374826	391
HLA-B	B*51	s_asian	0.0694911603855579	1060
HLA-B	B*52	s_asian	0.0734020881079705	1153
HLA-B	B*53	s_asian	0.000887874175545408	14
HLA-B	B*54	s_asian	0.000380758979565935	6
HLA-B	B*55	s_asian	0.0132099553286535	207
HLA-B	B*56	s_asian	0.00513412912334745	80
HLA-B	B*57	s_asian	0.0537092353953927	844
HLA-B	B*58	s_asian	0.0430550489149348	677
HLA-B	B*59	s_asian	0	0
HLA-B	B*67	s_asian	0	0
HLA-B	B*70	s_asian	0	0
HLA-B	B*73	s_asian	0.000126823081800888	2
HLA-B	B*78	s_asian	0	0
HLA-B	B*81	s_asian	0	0
HLA-B	B*82	s_asian	0	0
HLA-B	B*07	white_british	0.148809900269861	100015
HLA-B	B*08	white_british	0.143992257857353	96861
HLA-B	B*13	white_british	0.0190939711089164	12858
HLA-B	B*14	white_british	0.036390806662803	24521
HLA-B	B*15	white_british	0.0638664732513587	42583
HLA-B	B*18	white_british	0.0352207471720609	23645
HLA-B	B*27	white_british	0.0393981146414337	26452
HLA-B	B*35	white_british	0.0522810030779614	34871
HLA-B	B*37	white_british	0.0131147930470214	8832
HLA-B	B*38	white_british	0.00682605528049125	4591
HLA-B	B*39	white_british	0.0125918762085944	8464
HLA-B	B*40	white_british	0.0629111852675258	42322
HLA-B	B*41	white_british	0.00524017645468097	3533
HLA-B	B*42	white_british	0.000154236307820077	104
HLA-B	B*44	white_british	0.170772063820746	114620
HLA-B	B*45	white_british	0.00646963529118551	4361
HLA-B	B*46	white_british	0	0
HLA-B	B*47	white_british	0.00306719348829483	2068
HLA-B	B*48	white_british	9.93726176527298e-05	67
HLA-B	B*49	white_british	0.0113313270533207	7636
HLA-B	B*50	white_british	0.00836243446681877	5637
HLA-B	B*51	white_british	0.035626382607203	23859
HLA-B	B*52	white_british	0.00485550746064827	3271
HLA-B	B*53	white_british	0.00231786507116825	1562
HLA-B	B*54	white_british	2.96632039819885e-06	2
HLA-B	B*55	white_british	0.0181212851650751	12209
HLA-B	B*56	white_british	0.00251816023897951	1691
HLA-B	B*57	white_british	0.0391729072737673	26387
HLA-B	B*58	white_british	0.00492854011340739	3321
HLA-B	B*59	white_british	2.9660828426938e-06	2
HLA-B	B*67	white_british	0	0
HLA-B	B*70	white_british	0	0
HLA-B	B*73	white_british	0.000164614668205048	111
HLA-B	B*78	white_british	7.41525109523259e-06	5
HLA-B	B*81	white_british	2.96673401152873e-06	2
HLA-B	B*82	white_british	4.44904508662291e-06	3
HLA-C	C*01	african	0.0038479298137602	50
HLA-C	C*02	african	0.0246570585171037	284
HLA-C	C*03	african	0.079689830503824	1030
HLA-C	C*04	african	0.232272470831248	2994
HLA-C	C*05	african	0.0166615242209195	216
HLA-C	C*06	african	0.0644365654385694	836
HLA-C	C*07	african	0.183909433645705	2386
HLA-C	C*08	african	0.0413923491037247	533
HLA-C	C*12	african	0.0139318635921601	181
HLA-C	C*14	african	0.0176007410838351	228
HLA-C	C*15	african	0.00336873783663888	43
HLA-C	C*16	african	0.0961251083331145	1241
HLA-C	C*17	african	0.0766800246609125	995
HLA-C	C*18	african	0.0384141647421093	499
HLA-C	C*01	e_asian	0.20304347826087	467
HLA-C	C*02	e_asian	0.00390286209887251	9
HLA-C	C*03	e_asian	0.247399530046888	566
HLA-C	C*04	e_asian	0.0572570647987676	132
HLA-C	C*05	e_asian	0	0
HLA-C	C*06	e_asian	0.0229636048526863	53
HLA-C	C*07	e_asian	0.211438474870017	488
HLA-C	C*08	e_asian	0.111014744145707	256
HLA-C	C*12	e_asian	0.0476603119584056	110
HLA-C	C*14	e_asian	0.0386194456479877	89
HLA-C	C*15	e_asian	0.0322201891865345	74
HLA-C	C*16	e_asian	0.000433275563258232	1
HLA-C	C*17	e_asian	0	0
HLA-C	C*18	e_asian	0	0
HLA-C	C*01	non_british_white	0.0326920759869874	1628
HLA-C	C*02	non_british_white	0.0383471340139883	1908
HLA-C	C*03	non_british_white	0.102972772373673	5110
HLA-C	C*04	non_british_white	0.097747046185991	4868
HLA-C	C*05	non_british_white	0.0942171676579328	4689
HLA-C	C*06	non_british_white	0.0930316669345764	4630
HLA-C	C*07	non_british_white	0.340910456710531	16963
HLA-C	C*08	non_british_white	0.0491518477858716	2447
HLA-C	C*12	non_british_white	0.0595833831271101	2968
HLA-C	C*14	non_british_white	0.00972356155576985	484
HLA-C	C*15	non_british_white	0.0180473311589086	896
HLA-C	C*16	non_british_white	0.0425366206433343	2118
HLA-C	C*17	non_british_white	0.00517485344653325	256
HLA-C	C*18	non_british_white	8.02954873936085e-05	4
HLA-C	C*01	s_asian	0.0312261024725975	490
HLA-C	C*02	s_asian	0.0101522842639594	160
HLA-C	C*03	s_asian	0.0705534425279446	1111
HLA-C	C*04	s_asian	0.138941095798189	2186
HLA-C	C*05	s_asian	0.0104047709681512	164
HLA-C	C*06	s_asian	0.132533942393097	2089
HLA-C	C*07	s_asian	0.245865153652128	3873
HLA-C	C*08	s_asian	0.0232785193388595	367
HLA-C	C*12	s_asian	0.141134661759107	2224
HLA-C	C*14	s_asian	0.0292133401221996	459
HLA-C	C*15	s_asian	0.101508457251753	1578
HLA-C	C*16	s_asian	0.0300779795355932	474
HLA-C	C*17	s_asian	0.00616264294790343	97
HLA-C	C*18	s_asian	0.000443880786303107	7
HLA-C	C*01	white_british	0.034016299816946	22931
HLA-C	C*02	white_british	0.0359780666243887	24239
HLA-C	C*03	white_british	0.134759305171933	90445
HLA-C	C*04	white_british	0.0827910306100199	55801
HLA-C	C*05	white_british	0.113729292185445	76601
HLA-C	C*06	white_british	0.0893951268167569	60228
HLA-C	C*07	white_british	0.351356951939084	236577
HLA-C	C*08	white_british	0.0359315069698353	24216
HLA-C	C*12	white_british	0.0330389349738288	22276
HLA-C	C*14	white_british	0.00910169712929374	6135
HLA-C	C*15	white_british	0.0173773190993085	11687
HLA-C	C*16	white_british	0.0464112357097177	31278
HLA-C	C*17	white_british	0.00316158797196715	2123
HLA-C	C*18	white_british	0.000109743112136698	74
HLA-DPA1	DPA1*01	african	0.708077285254233	8907
HLA-DPA1	DPA1*02	african	0.53989526229633	6855
HLA-DPA1	DPA1*03	african	0.0986344192168477	1199
HLA-DPA1	DPA1*04	african	0.00416345412490362	54
HLA-DPA1	DPA1*01	e_asian	0.690548808272527	1580
HLA-DPA1	DPA1*02	e_asian	0.635668009697511	1432
HLA-DPA1	DPA1*03	e_asian	0	0
HLA-DPA1	DPA1*04	e_asian	0.0300522648083624	69
HLA-DPA1	DPA1*01	non_british_white	0.187997235737031	9317
HLA-DPA1	DPA1*02	non_british_white	0.171109701980944	8507
HLA-DPA1	DPA1*03	non_british_white	0.000923657684430344	46
